uuid,run_name,band,look_angle,polarization,inclination_angle,contains_wake
44,0.5Head,C,90.0,hh,30.0,1
45,0.5Head,C,90.0,hh,40.0,1
46,0.5Head,C,90.0,hh,50.0,1
47,0.5Head,C,90.0,hh,60.0,1
48,0.5Head,C,180.0,vv,30.0,1
49,0.5Head,C,180.0,vv,40.0,1
50,0.5Head,C,180.0,vv,50.0,1
51,0.5Head,C,180.0,vv,60.0,1
52,0.5Head,C,180.0,hh,30.0,1
53,0.5Head,C,180.0,hh,40.0,1
54,0.5Head,C,180.0,hh,50.0,1
55,0.5Head,C,180.0,hh,60.0,1
56,0.5Head,C,270.0,vv,30.0,1
57,0.5Head,C,270.0,vv,40.0,1
58,0.5Head,C,270.0,vv,50.0,1
59,0.5Head,C,270.0,vv,60.0,1
60,0.5Head,C,270.0,hh,30.0,1
61,0.5Head,C,270.0,hh,40.0,1
62,0.5Head,C,270.0,hh,50.0,1
63,0.5Head,C,270.0,hh,60.0,1
64,0.5Following,C,0.0,vv,30.0,1
65,0.5Following,C,0.0,vv,40.0,1
66,0.5Following,C,0.0,vv,50.0,1
67,0.5Following,C,0.0,vv,60.0,1
68,0.5Following,C,0.0,hh,30.0,1
69,0.5Following,C,0.0,hh,40.0,1
70,0.5Following,C,0.0,hh,50.0,1
71,0.5Following,C,0.0,hh,60.0,1
72,0.5Following,C,90.0,vv,30.0,1
73,0.5Following,C,90.0,vv,40.0,1
74,0.5Following,C,90.0,vv,50.0,1
75,0.5Following,C,90.0,vv,60.0,1
76,0.5Following,C,90.0,hh,30.0,1
77,0.5Following,C,90.0,hh,40.0,1
78,0.5Following,C,90.0,hh,50.0,1
79,0.5Following,C,90.0,hh,60.0,1
80,0.5Following,C,180.0,vv,30.0,1
81,0.5Following,C,180.0,vv,40.0,1
82,0.5Following,C,180.0,vv,50.0,1
83,0.5Following,C,180.0,vv,60.0,1
84,0.5Following,C,180.0,hh,30.0,1
85,0.5Following,C,180.0,hh,40.0,1
86,0.5Following,C,180.0,hh,50.0,1
87,0.5Following,C,180.0,hh,60.0,1
88,0.5Following,C,270.0,vv,30.0,1
89,0.5Following,C,270.0,vv,40.0,1
90,0.5Following,C,270.0,vv,50.0,1
91,0.5Following,C,270.0,vv,60.0,1
92,0.5Following,C,270.0,hh,30.0,1
93,0.5Following,C,270.0,hh,40.0,1
94,0.5Following,C,270.0,hh,50.0,1
95,0.5Following,C,270.0,hh,60.0,1
96,1.0Head,C,0.0,vv,30.0,1
97,1.0Head,C,0.0,vv,40.0,1
98,1.0Head,C,0.0,vv,50.0,1
99,1.0Head,C,0.0,vv,60.0,1
100,1.0Head,C,0.0,hh,30.0,1
101,1.0Head,C,0.0,hh,40.0,1
102,1.0Head,C,0.0,hh,50.0,1
103,1.0Head,C,0.0,hh,60.0,1
104,1.0Head,C,90.0,vv,30.0,1
105,1.0Head,C,90.0,vv,40.0,1
106,1.0Head,C,90.0,vv,50.0,1
107,1.0Head,C,90.0,vv,60.0,1
108,1.0Head,C,90.0,hh,30.0,1
109,1.0Head,C,90.0,hh,40.0,1
110,1.0Head,C,90.0,hh,50.0,1
111,1.0Head,C,90.0,hh,60.0,1
112,1.0Head,C,180.0,vv,30.0,1
113,1.0Head,C,180.0,vv,40.0,1
114,1.0Head,C,180.0,vv,50.0,1
115,1.0Head,C,180.0,vv,60.0,1
116,1.0Head,C,180.0,hh,30.0,1
117,1.0Head,C,180.0,hh,40.0,1
118,1.0Head,C,180.0,hh,50.0,1
119,1.0Head,C,180.0,hh,60.0,1
120,1.0Head,C,270.0,vv,30.0,1
121,1.0Head,C,270.0,vv,40.0,1
122,1.0Head,C,270.0,vv,50.0,1
123,1.0Head,C,270.0,vv,60.0,1
124,1.0Head,C,270.0,hh,30.0,1
125,1.0Head,C,270.0,hh,40.0,1
126,1.0Head,C,270.0,hh,50.0,1
127,1.0Head,C,270.0,hh,60.0,1
128,1.0Following,C,0.0,vv,30.0,1
129,1.0Following,C,0.0,vv,40.0,1
130,1.0Following,C,0.0,vv,50.0,1
131,1.0Following,C,0.0,vv,60.0,1
132,1.0Following,C,0.0,hh,30.0,1
133,1.0Following,C,0.0,hh,40.0,1
134,1.0Following,C,0.0,hh,50.0,1
135,1.0Following,C,0.0,hh,60.0,1
136,1.0Following,C,90.0,vv,30.0,1
137,1.0Following,C,90.0,vv,40.0,1
138,1.0Following,C,90.0,vv,50.0,1
139,1.0Following,C,90.0,vv,60.0,1
140,1.0Following,C,90.0,hh,30.0,1
141,1.0Following,C,90.0,hh,40.0,1
142,1.0Following,C,90.0,hh,50.0,1
143,1.0Following,C,90.0,hh,60.0,1
144,1.0Following,C,180.0,vv,30.0,1
145,1.0Following,C,180.0,vv,40.0,1
146,1.0Following,C,180.0,vv,50.0,1
147,1.0Following,C,180.0,vv,60.0,1
148,1.0Following,C,180.0,hh,30.0,1
149,1.0Following,C,180.0,hh,40.0,1
150,1.0Following,C,180.0,hh,50.0,1
151,1.0Following,C,180.0,hh,60.0,1
152,1.0Following,C,270.0,vv,30.0,1
153,1.0Following,C,270.0,vv,40.0,1
154,1.0Following,C,270.0,vv,50.0,1
155,1.0Following,C,270.0,vv,60.0,1
156,1.0Following,C,270.0,hh,30.0,1
157,1.0Following,C,270.0,hh,40.0,1
158,1.0Following,C,270.0,hh,50.0,1
159,1.0Following,C,270.0,hh,60.0,1
160,1.5Head,C,0.0,vv,30.0,1
161,1.5Head,C,0.0,vv,40.0,1
162,1.5Head,C,0.0,vv,50.0,1
163,1.5Head,C,0.0,vv,60.0,1
164,1.5Head,C,0.0,hh,30.0,1
165,1.5Head,C,0.0,hh,40.0,1
166,1.5Head,C,0.0,hh,50.0,1
167,1.5Head,C,0.0,hh,60.0,1
168,1.5Head,C,90.0,vv,30.0,1
169,1.5Head,C,90.0,vv,40.0,1
170,1.5Head,C,90.0,vv,50.0,1
171,1.5Head,C,90.0,vv,60.0,1
172,1.5Head,C,90.0,hh,30.0,1
173,1.5Head,C,90.0,hh,40.0,1
174,1.5Head,C,90.0,hh,50.0,1
175,1.5Head,C,90.0,hh,60.0,1
176,1.5Head,C,180.0,vv,30.0,1
177,1.5Head,C,180.0,vv,40.0,1
178,1.5Head,C,180.0,vv,50.0,1
179,1.5Head,C,180.0,vv,60.0,1
180,1.5Head,C,180.0,hh,30.0,1
181,1.5Head,C,180.0,hh,40.0,1
182,1.5Head,C,180.0,hh,50.0,1
183,1.5Head,C,180.0,hh,60.0,1
184,1.5Head,C,270.0,vv,30.0,1
185,1.5Head,C,270.0,vv,40.0,1
186,1.5Head,C,270.0,vv,50.0,1
187,1.5Head,C,270.0,vv,60.0,1
188,1.5Head,C,270.0,hh,30.0,1
189,1.5Head,C,270.0,hh,40.0,1
190,1.5Head,C,270.0,hh,50.0,1
191,1.5Head,C,270.0,hh,60.0,1
192,1.5Following,C,0.0,vv,30.0,1
193,1.5Following,C,0.0,vv,40.0,1
194,1.5Following,C,0.0,vv,50.0,1
195,1.5Following,C,0.0,vv,60.0,1
196,1.5Following,C,0.0,hh,30.0,1
197,1.5Following,C,0.0,hh,40.0,1
198,1.5Following,C,0.0,hh,50.0,1
199,1.5Following,C,0.0,hh,60.0,1
200,1.5Following,C,90.0,vv,30.0,1
201,1.5Following,C,90.0,vv,40.0,1
202,1.5Following,C,90.0,vv,50.0,1
203,1.5Following,C,90.0,vv,60.0,1
204,1.5Following,C,90.0,hh,30.0,1
205,1.5Following,C,90.0,hh,40.0,1
206,1.5Following,C,90.0,hh,50.0,1
207,1.5Following,C,90.0,hh,60.0,1
208,1.5Following,C,180.0,vv,30.0,1
209,1.5Following,C,180.0,vv,40.0,1
210,1.5Following,C,180.0,vv,50.0,1
211,1.5Following,C,180.0,vv,60.0,1
212,1.5Following,C,180.0,hh,30.0,1
213,1.5Following,C,180.0,hh,40.0,1
214,1.5Following,C,180.0,hh,50.0,1
215,1.5Following,C,180.0,hh,60.0,1
216,1.5Following,C,270.0,vv,30.0,1
217,1.5Following,C,270.0,vv,40.0,1
218,1.5Following,C,270.0,vv,50.0,1
219,1.5Following,C,270.0,vv,60.0,1
220,1.5Following,C,270.0,hh,30.0,1
221,1.5Following,C,270.0,hh,40.0,1
222,1.5Following,C,270.0,hh,50.0,1
223,1.5Following,C,270.0,hh,60.0,1
